"","height","size","mean","sd","variation","fraction"
"62",110,200,-3860751.52372803,4745817.14414467,-1.22924697820542,-111.582413980579
"63",110,250,-3820612.38448104,4573259.31358507,-1.19699641140285,-110.422323250897
"64",110,300,-3915815.66315283,4694430.67410623,-1.19883852508177,-113.173863096903
"65",110,350,-4004794.5061412,4788996.70818053,-1.19581584044744,-115.745505957838
"66",110,400,-4167064.96806622,4800309.88551167,-1.15196425356894,-120.435403701336
"67",110,450,-4159380.63885753,4810659.94895527,-1.15658083898679,-120.213313261778
"68",110,500,-4127599.70930874,4886217.55185535,-1.18379152436602,-119.29478928638
"69",110,550,-4204492.76606781,4896075.46507576,-1.16448659505121,-121.517131967278
"70",110,600,-4170705.13611434,4864035.79915658,-1.16623823560162,-120.540610870357
"71",110,650,-4230971.25320129,4796193.48098939,-1.13359160201347,-122.282406161887
"72",110,700,-4266160.6299248,4821640.38119627,-1.13020600944444,-123.299440171237
"73",110,750,-4297013.83549451,4795186.45681314,-1.1159346095662,-124.19115131487
"74",110,800,-4258995.19305109,4796182.67117474,-1.12613009730561,-123.092346619974
"75",110,850,-4221369.31308973,4749500.36230582,-1.12510894215733,-122.0048934419
"76",110,900,-4244698.44969,4773446.80503253,-1.1245667652507,-122.679145944798
"77",110,950,-4285763.51813494,4748899.17702111,-1.10806374568416,-123.865997633958
"78",110,1000,-4245178.4234337,4770495.24572344,-1.12374434473471,-122.693018018315
"79",105,20,-3574554.18690262,5039641.53006492,-1.40986575291835,-7.03652398996579
"80",105,40,-2678021.23473273,4603417.60812109,-1.71896232502447,-5.27169534396207
"81",105,60,-2945422.50933415,4720531.44939402,-1.60266699749679,-5.79807580577589
"82",105,80,-2687273.70084285,4800028.69964223,-1.78620759699197,-5.28990885992687
"83",105,100,-2845205.76582419,5068776.41932771,-1.78151488381347,-5.60079875162243
"84",105,120,-2813650.35036423,4899007.49394642,-1.74115717445568,-5.53868179205556
"85",105,140,-2647213.22188869,4758372.65975761,-1.79750260402624,-5.21104964938718
"86",105,160,-2563609.55570333,4887726.12086051,-1.90657977147364,-5.04647550335302
"87",105,180,-2673168.91309382,4997375.3524311,-1.86945737994811,-5.26214352971225
"88",105,200,-2546732.7641245,4938054.32514948,-1.93897624230984,-5.01325347268603
"89",105,250,-2753353.75394869,4882708.4811596,-1.77336765177999,-5.4199877046234
"90",105,300,-2994679.65763485,4796776.32004896,-1.60176608800868,-5.89503869613159
"91",105,350,-3178715.70455268,4963291.22449005,-1.5614140067265,-6.25731437904072
"92",105,400,-3114809.6006728,4943860.06066191,-1.58721099986145,-6.13151496195433
"93",105,450,-3076350.2472729,4910029.24264066,-1.59605664114262,-6.05580757337185
"94",105,500,-3118736.402896,4825235.06179926,-1.54717630426177,-6.13924488759054
"95",105,550,-3054330.58080272,4800312.88194041,-1.5716415610385,-6.01246177323371
"96",105,600,-3100271.77537854,4867697.99279805,-1.57008751021633,-6.10289719562705
"97",105,650,-3120485.46981597,4877235.68806546,-1.56297336912551,-6.1426879327086
"98",105,700,-3098958.65815047,4910286.63598552,-1.58449568956693,-6.10031231919384
"99",105,750,-3122838.81251313,4838799.73647167,-1.54948751023675,-6.1473204970731
"100",105,800,-3098981.74226761,4816848.74770266,-1.5543327287169,-6.10035776036931
"101",105,850,-3065315.96550165,4820078.96018481,-1.57245746097042,-6.0340865462631
"102",105,900,-3028159.97482994,4843474.24590583,-1.59947766503909,-5.96094483234239
"103",105,950,-3064651.59112993,4834798.3974123,-1.57760132062181,-6.03277872269671
"104",105,1000,-3086890.88664111,4851862.29936241,-1.57176345958953,-6.07655686346675
"105",100,20,3879060.37641479,3934781.48438275,1.01436458898829,0.667652388367433
"106",100,40,4119701.12719866,4561614.28196923,1.10726825590648,0.709070761996327
"107",100,60,3968999.28670251,5276166.66110741,1.32934432081768,0.683132407349829
"108",100,80,4134135.9249401,5076147.23066202,1.22786171592449,0.711555236650619
"109",100,100,3938403.83712228,5392885.48371961,1.36930739120448,0.677866409143249
"110",100,120,4272587.64138233,5441847.5891254,1.27366552681522,0.735385136210383
"111",100,140,4276524.52473485,5396261.10594608,1.26183331224569,0.736062740918219
