"","height","size","mean","sd","variation","fraction"
"45",115,650,-4158362.35843102,2096265.67658455,-0.504108467684255,-2058.59522694605
"46",115,700,-4140036.83293377,2103669.69534484,-0.508128255915567,-2049.52318462068
"47",115,750,-4121198.59767237,2135353.4256693,-0.518138928532912,-2040.19732558038
"48",115,800,-4109289.97355856,2123243.94888667,-0.51669362895994,-2034.3019671082
"49",115,850,-4088790.05592536,2120864.3626744,-0.518702191520179,-2024.15349303236
"50",115,900,-4113073.03724465,2119969.95900927,-0.515422395812702,-2036.1747709132
"51",115,950,-4108830.5231736,2108718.59148345,-0.513216249633657,-2034.07451642257
"52",115,1000,-4094283.29230445,2102225.65408168,-0.513453882889098,-2026.8729169824
"53",110,20,-4849497.42368055,2721067.35669632,-0.561102959537434,-140.158885077473
"54",110,40,-4610838.73484013,2661575.68178497,-0.577243281504022,-133.261235110986
"55",110,60,-4425750.38605056,2547551.98830353,-0.575620350468276,-127.911860868513
"56",110,80,-4416068.45922928,2693059.55254757,-0.60983193023633,-127.63203639391
"57",110,100,-4358701.6306013,2693709.80528664,-0.618007386964688,-125.974035566512
"58",110,120,-4280024.28049248,2665649.73926899,-0.62281182642316,-123.700123713656
"59",110,140,-4253627.98325025,2752573.61817375,-0.647111978060308,-122.937224949429
"60",110,160,-4392711.40826523,2738652.83701046,-0.62345384945104,-126.956977117492
"61",110,180,-4308288.74560496,2905385.92237872,-0.674371216493464,-124.51701576893
"62",110,200,-4274271.5051915,3051331.41141928,-0.713883385206849,-123.533858531546
"63",110,250,-4357341.71511066,3103237.36360415,-0.712185907486334,-125.934731650597
"64",110,300,-4336493.00018009,3145224.3363768,-0.725292151110628,-125.332167635263
"65",110,350,-4346781.9142431,3177003.53475869,-0.730886342456844,-125.629535093731
"66",110,400,-4441884.71996876,3085589.40765869,-0.694657696492491,-128.378171097363
"67",110,450,-4458870.37351614,3130363.54701352,-0.702053050388412,-128.869085939773
"68",110,500,-4442704.60409641,3215452.67543632,-0.723760178084202,-128.401867170416
"69",110,550,-4436480.16584918,3225239.83346532,-0.72698168658396,-128.221970111248
"70",110,600,-4468949.20248134,3207421.88222353,-0.717712763537934,-129.160381574605
"71",110,650,-4505194.40009134,3218604.96724152,-0.714420884296639,-130.207930638478
"72",110,700,-4502502.49657244,3178881.11497498,-0.706025397519473,-130.130129958741
"73",110,750,-4524690.6380221,3170048.66829705,-0.70061114049618,-130.771405723182
"74",110,800,-4512631.29727239,3190089.45816688,-0.706924463360235,-130.422869863364
"75",110,850,-4516358.77092648,3224180.0053273,-0.713889256558309,-130.530600315794
"76",110,900,-4525266.40238176,3265020.12328226,-0.721508930736941,-130.788046311611
"77",110,950,-4512514.01296723,3258416.82166635,-0.722084587948739,-130.419480143561
"78",110,1000,-4491324.29593791,3261632.95889599,-0.726207404316343,-129.80706057624
"79",105,20,-2136163.65591087,4860110.53755017,-2.27515833073089,-4.20504656675369
"80",105,40,-3011384.41288328,4114672.44034758,-1.36637236439965,-5.92792207260488
"81",105,60,-2765904.59587551,3838438.59336939,-1.38776970076742,-5.44469408636911
"82",105,80,-2851903.52889215,3704642.10975,-1.29900681149236,-5.61398332459084
"83",105,100,-3113842.77002272,3621894.84504163,-1.16315919349236,-6.12961175201322
"84",105,120,-3228520.87776746,3848483.87559648,-1.19202694400964,-6.35535605859736
"85",105,140,-3135709.57230474,3716250.92437998,-1.18513875047699,-6.17265663839515
"86",105,160,-3109434.82570378,3647215.98843728,-1.17295141814454,-6.12093469626729
"87",105,180,-3042696.10719267,3582016.27837327,-1.17725075136676,-5.98955926612729
"88",105,200,-3125950.10604284,3587060.78690768,-1.14751056965799,-6.15344509063552
"89",105,250,-3179394.32347811,3515882.76283387,-1.10583413226569,-6.25865024306715
"90",105,300,-3070998.95856906,3503214.19372699,-1.1407409253435,-6.04527354049028
"91",105,350,-3012149.69534143,3470734.45374748,-1.15224500930856,-5.92942853413668
"92",105,400,-3010920.06895685,3453186.47794703,-1.14688746258994,-5.92700800975758
"93",105,450,-3057869.69606946,3386720.87232052,-1.10754257340454,-6.0194285355698
"94",105,500,-3145414.3218746,3400907.23967633,-1.08122711085307,-6.19176047613111
"95",105,550,-3179279.57578388,3373110.44102458,-1.06096691423965,-6.25842436177928
"96",105,600,-3180711.62609284,3343551.81373301,-1.05119614941019,-6.26124335845047
"97",105,650,-3145729.5758743,3325245.95598641,-1.05706669177443,-6.19238105487066
"98",105,700,-3108230.64713574,3371008.08545002,-1.08454245136423,-6.11856426601523
"99",105,750,-3096016.97235949,3350388.08985219,-1.08216076325281,-6.09452159913286
"100",105,800,-3064085.81491928,3351438.62242745,-1.09378092679684,-6.03166498999858
"101",105,850,-3096094.92750426,3338544.71199545,-1.07830825286957,-6.09467505414225
"102",105,900,-3104809.60677924,3333239.53037987,-1.07357292476223,-6.11182993460481
"103",105,950,-3104924.1138886,3327690.36007951,-1.07174611617542,-6.1120553423004
"104",105,1000,-3110102.73717588,3353297.83250822,-1.0781951967134,-6.12224948262969
"105",100,20,3810146.47799778,3852290.27009813,1.01106093751086,0.655791132185505
"106",100,40,3726696.29638006,3738989.56961033,1.00329870540892,0.641427933972472
"107",100,60,3700840.91330785,3370277.98913432,0.910678969478299,0.636977781980697
"108",100,80,3593753.69841081,3201929.63455314,0.890970807478838,0.61854624757501
"109",100,100,3751873.50498711,3130281.51480684,0.834324907448497,0.64576136058298
"110",100,120,3857250.24018649,3078403.71390008,0.798082447912751,0.663898492286831
"111",100,140,3982554.0571649,3087585.55965132,0.775277752751789,0.685465414314096
"112",100,160,4164284.28129301,3137690.47555329,0.753476531284996,0.716744282494494
"113",100,180,4090239.17934026,3146315.80762795,0.769225385038591,0.703999858750476
"114",100,200,4075945.09153435,3106746.08981513,0.762214902322354,0.701539602673727
"115",100,250,3993726.21232305,3243930.51959249,0.812256611277712,0.687388332585723
"116",100,300,3914257.64269149,3232837.00911836,0.825913188201739,0.673710437640533
"117",100,350,3956570.43110121,3370076.12934403,0.851767000747172,0.680993189518281
"118",100,400,4002083.28755954,3352487.65103802,0.837685627747732,0.688826727635033
"119",100,450,4046991.78935858,3359102.18439526,0.830024462423645,0.696556246016967
"120",100,500,4021532.28673685,3400643.97819821,0.84560902057498,0.69217423179636
"121",100,550,3961072.14577773,3407032.78074202,0.860128938669728,0.681768011321467
"122",100,600,3958831.29524829,3363982.51816351,0.849741316888456,0.681382322762184
"123",100,650,3895754.59354506,3381249.38139945,0.86793182173279,0.670525747598117
"124",100,700,3865364.4853466,3370222.33409713,0.871902855959243,0.665295092142272
"125",100,750,3825283.9613666,3341901.83201557,0.873634968218587,0.658396551009741
"126",100,800,3843772.46460735,3320172.90489199,0.863779772466618,0.661578737453933
"127",100,850,3876993.54707237,3321328.29910675,0.856676251528656,0.667296651819685
"128",100,900,3885138.71423656,3309231.85039559,0.851766717689992,0.668698573878926
"129",100,950,3877079.98700052,3284613.92916148,0.847187558723183,0.667311529604221
"130",100,1000,3861516.18766832,3283472.00438513,0.850306419760932,0.664632734538437
"131",95,20,33533838.8528724,3914583.12729943,0.116735311590016,0.939323217167293
"132",95,40,33629417.8888538,4463873.22555458,0.132737154128204,0.942000501088342
"133",95,60,33780400.0483802,4538526.46579515,0.134353840075756,0.946229693231938
"134",95,80,33990940.026934,4699025.88934658,0.138243481516637,0.952127171622802
"135",95,100,34339270.9586105,4689606.76653309,0.136566870397031,0.961884340577326
"136",95,120,34552414.0097574,4532421.26128568,0.13117524176475,0.967854734166875
"137",95,140,34493046.1154645,4653526.39831302,0.13491201625787,0.966191767940182
"138",95,160,34305130.8464944,4612425.53885734,0.134452935320277,0.960928034915811
"139",95,180,34500405.716057,4694915.74270523,0.136082913961796,0.966397919217284
"140",95,200,34518296.8540377,4681075.93869097,0.135611439883176,0.966899071541673
"141",95,250,34088431.2330042,4631540.3933709,0.135868393641027,0.954858017731211
"142",95,300,34227866.3245292,4678976.60637523,0.13670079700592,0.958763762591854
"143",95,350,34086641.5652333,4658309.52778952,0.136660853457055,0.954807886981326
"144",95,400,34042343.9192921,4698485.90335456,0.138018871864222,0.953567056562803
"145",95,450,34177018.0838989,4759940.66626004,0.139273141225345,0.957339442126021
"146",95,500,34226953.8589489,4761502.90273714,0.139115590664584,0.958738203331903
"147",95,550,34216456.5907694,4855695.90980549,0.141911126797257,0.958444162206425
"148",95,600,34380645.8137226,4894161.97395669,0.142352240864634,0.963043300104273
"149",95,650,34344018.6713494,4901118.74636645,0.14270661780344,0.962017329729674
"150",95,700,34407426.9482735,4943438.61904157,0.143673591939127,0.963793471940436
"151",95,750,34307268.5050387,4917590.57458898,0.143339612533325,0.960987913306405
"152",95,800,34320944.1163399,4927746.4400211,0.143578405748898,0.961370983650978
"153",95,850,34247120.862018,4919318.57058611,0.143641814166105,0.959303105378656
"154",95,900,34160685.3128161,4961588.13950839,0.145242640599102,0.956881941535466
"155",95,950,34208860.0990642,5010264.14469483,0.146461008352391,0.958231375323927
"156",95,1000,34213677.1749548,4990550.92246121,0.145864207958167,0.958366307421703
"157",90,20,80897115.3767601,8203771.09035751,0.101409933495778,0.978199702258284
"158",90,40,81666031.3463694,7223789.9810391,0.0884552593280909,0.987497356062507
"159",90,60,81924939.6438681,7529247.93094302,0.0919042231056018,0.990628048898043
"160",90,80,81317544.4190602,7451515.86937465,0.0916347870881855,0.983283487533981
"161",90,100,81262285.9050132,6906039.67692054,0.0849845607960494,0.982615307194839
"162",90,120,81468923.8238563,6664004.64123137,0.0817981179626184,0.985113951920874
"163",90,140,81543228.8388374,6834569.29440412,0.0838152890402711,0.98601244061472
"164",90,160,81246230.2862758,6939058.50911065,0.0854077596543308,0.982421164283867
"165",90,180,81652687.8480901,7090955.58297707,0.0868428923756847,0.98733600783664
"166",90,200,81520694.2045971,7323127.14410858,0.0898315110728732,0.985739954106374
"167",90,250,81693294.5742536,7489682.76011537,0.091680508163467,0.987827020244905
"168",90,300,81427117.2845004,7501433.32380166,0.0921245105312055,0.984608431493355
"169",90,350,81662666.6001642,7526984.8989157,0.0921716766336965,0.987456669893159
"170",90,400,81694789.3129225,7552442.42947323,0.0924470519232808,0.987845094473065
"171",90,450,81854930.6364129,7546853.93376021,0.0921979149586258,0.989781507090845
"172",90,500,82045349.6940991,7614910.40024657,0.0928134309700463,0.992084034995152
"173",90,550,82077952.8635153,7568708.12351845,0.0922136561581184,0.992478269208166
"174",90,600,82221708.9569351,7626418.46692976,0.0927543171223092,0.994216553288212
"175",90,650,82263953.9402923,7668634.60459779,0.0932198640751421,0.994727375336061
"176",90,700,82253656.8761947,7631691.93163291,0.0927824028920667,0.994602864282886
"177",90,750,82128516.4513975,7626599.7267772,0.0928617739161344,0.993089678976995
"178",90,800,82260356.4063624,7673371.53158981,0.093281525473628,0.994683874321189
"179",90,850,82143373.2939291,7682590.53825316,0.0935266014796224,0.993269326407849
"180",90,900,82176917.147377,7684095.27760838,0.0935067357641032,0.993674935276626
"181",90,950,82199836.4806425,7706404.557704,0.0937520667637678,0.993952073526512
