"","height","size","mean","sd","variation","fraction"
"26",120,1000,-2800242.74242647,939037.311169565,-0.335341396280478,-18920.5590704491
"27",115,20,-4221583.77055649,2465079.7742664,-0.583922979678655,-2089.89295572103
"28",115,40,-4196970.28766367,2374280.78578038,-0.565713031793244,-2077.70806319984
"29",115,60,-3989560.02848991,2245041.3756101,-0.562729062748274,-1975.02971707421
"30",115,80,-3967584.23367792,2258715.49857503,-0.569292386889342,-1964.15061073164
"31",115,100,-4095913.36830898,2312519.50207901,-0.564591897858852,-2027.67988530148
"32",115,120,-4160412.22462567,2193205.94746392,-0.527160730487771,-2059.61001219092
"33",115,140,-4101428.08976663,2220875.54355922,-0.541488353556771,-2030.40994542902
"34",115,160,-4072568.06058796,2195171.9089372,-0.539014173926483,-2016.12280227127
"35",115,180,-4098484.90009583,2159095.7370266,-0.526803389461338,-2028.95292083952
"36",115,200,-4087746.2656663,2096485.49576985,-0.512870750657545,-2023.63676518134
"37",115,250,-4189247.82337408,2130758.29041467,-0.508625505162531,-2073.88506107628
"38",115,300,-4149168.52765792,2073653.8813353,-0.499775766521061,-2054.04382557323
"39",115,350,-4142204.23652826,2064345.21313349,-0.498368765820127,-2050.59615669716
"40",115,400,-4203113.08648502,2026114.44596476,-0.482050899957859,-2080.74905271536
"41",115,450,-4178684.01660501,2050865.76903087,-0.490792259209181,-2068.65545376486
"42",115,500,-4154521.7505687,2051869.12608264,-0.493888165539574,-2056.6939359251
"43",115,550,-4089839.4448166,2069414.27912658,-0.505989124279518,-2024.67299248347
"44",115,600,-4090211.37822354,2062659.12927724,-0.504291572865629,-2024.85711793244
"45",115,650,-4083073.30185923,2092651.98262599,-0.512518837629758,-2021.32341676199
"46",115,700,-4104621.10507716,2110168.7493655,-0.514095867887867,-2031.9906460778
"47",115,750,-4110616.14376617,2118837.26811583,-0.515454908464047,-2034.95848701296
"48",115,800,-4116388.8880035,2111138.76866285,-0.512861837426342,-2037.81628118985
"49",115,850,-4121669.30423027,2103115.96058697,-0.510258297148788,-2040.43034862885
"50",115,900,-4139308.68662681,2101351.10069592,-0.507657500269288,-2049.16271615189
"51",115,950,-4151744.08950562,2090582.50114766,-0.503543199214045,-2055.3188561909
"52",115,1000,-4157021.52320918,2072459.15119445,-0.498544243666686,-2057.93144713326
"53",110,20,-4894333.50046317,3631835.65368422,-0.742049076414701,-141.454725446912
"54",110,40,-4619916.37899867,3211036.11480982,-0.695042042190769,-133.523594768748
"55",110,60,-3960449.12303533,3868761.50491196,-0.976849186727314,-114.46384748657
"56",110,80,-4114470.1295575,3849670.06387214,-0.935641757663255,-118.915321663512
"57",110,100,-4114932.068006,3912688.98154066,-0.950851415497768,-118.928672485722
"58",110,120,-4088242.34597416,3686743.62561867,-0.901791849313713,-118.157293236247
"59",110,140,-3971077.14285687,3655059.94216083,-0.920420281619437,-114.771015689505
"60",110,160,-3972072.9549431,3628748.27239885,-0.913565363365999,-114.799796385639
"61",110,180,-4023581.15938453,3630374.2448731,-0.902274392155773,-116.288472814582
"62",110,200,-4029312.4015492,3588987.79020299,-0.890719664432842,-116.454115651711
"63",110,250,-4024303.44153866,3580319.78283386,-0.889674408216333,-116.309348021349
"64",110,300,-3999860.36206597,3570967.25897855,-0.892772980988293,-115.602900637745
"65",110,350,-4155546.29534052,3618020.71514709,-0.870648636306581,-120.102494084986
"66",110,400,-4223809.45627507,3547299.65774218,-0.839834205227266,-122.075417811418
"67",110,450,-4203581.71175041,3501602.28825122,-0.833004453907266,-121.490800917642
"68",110,500,-4152008.5158315,3531741.64409116,-0.850610404729355,-120.000246122298
"69",110,550,-4160578.35664743,3510924.62148742,-0.843854945281334,-120.247929382874
"70",110,600,-4198640.85784719,3480803.71344518,-0.829031067741746,-121.348001671884
"71",110,650,-4192209.31524676,3444252.05876946,-0.821583990628275,-121.162118937768
"72",110,700,-4228422.03527923,3415267.37284911,-0.807693116806769,-122.20872934333
"73",110,750,-4210934.04658376,3388116.22832536,-0.804599689960488,-121.703296144039
"74",110,800,-4241822.25279691,3388556.25854424,-0.798844472162864,-122.596018866963
"75",110,850,-4263111.6507921,3353636.36478371,-0.786663976806845,-123.211319387055
"76",110,900,-4258102.68183567,3356694.45813841,-0.788307541867766,-123.066551498141
"77",110,950,-4274498.65300811,3371807.68901564,-0.788819452929943,-123.540423497344
"78",110,1000,-4287372.40953999,3347255.00472388,-0.78072410907804,-123.912497385549
